Age,Department,DistanceFromHome,EducationField,Education,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,JobRole,AnnualIncome,StockOptionLevel,TrainingTimesLastYear,JobInvolvement,JobLevel,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition
30,Research & Development,1,Medical,2,Female,Single,1,12,12,8,3,7,Travel_Frequently,Laboratory Technician,144396,0,2,3,2,No,23,4,3,4,3,No
41,Research & Development,12,Technical Degree,3,Female,Married,1,23,22,15,15,8,Travel_Rarely,Research Director,703620,0,0,3,5,No,12,3,2,3,3,Yes
34,Sales,23,Marketing,4,Male,Single,0,10,9,5,8,7,Non-Travel,Sales Executive,164448,0,2,3,2,No,20,4,2,3,3,No
37,Research & Development,19,Life Sciences,2,Male,Married,4,8,1,0,0,0,Travel_Rarely,Research Scientist,108792,0,1,3,1,No,21,4,2,2,3,No
46,Sales,5,Marketing,4,Male,Single,4,14,9,6,0,8,Travel_Frequently,Sales Executive,207792,0,4,3,2,Yes,21,4,1,4,3,No
35,Research & Development,8,Life Sciences,1,Male,Married,1,1,1,0,0,1,Travel_Rarely,Laboratory Technician,81684,0,2,4,1,No,19,3,4,4,3,No
48,Research & Development,1,Life Sciences,2,Male,Single,9,23,1,0,0,0,Travel_Rarely,Laboratory Technician,193716,0,2,2,3,Yes,13,3,1,3,3,Yes
28,Research & Development,5,Technical Degree,4,Male,Single,1,2,2,2,2,2,Travel_Rarely,Laboratory Technician,123876,0,3,3,1,Yes,13,3,3,3,2,Yes
44,Sales,1,Marketing,5,Female,Divorced,5,9,4,3,1,3,Travel_Rarely,Sales Executive,196344,1,2,3,2,Yes,21,4,2,1,2,No
35,Research & Development,11,Medical,2,Male,Married,2,10,4,0,2,3,Non-Travel,Healthcare Representative,355824,1,3,2,3,Yes,13,3,3,1,3,No
26,Sales,23,Marketing,3,Female,Married,7,5,2,2,0,0,Travel_Rarely,Sales Executive,149652,1,2,2,2,Yes,19,3,3,4,2,No
33,Research & Development,1,Life Sciences,2,Female,Single,1,15,15,14,8,12,Travel_Frequently,Research Director,484488,0,1,3,3,Yes,12,3,1,4,3,No
35,Sales,18,Life Sciences,5,Male,Married,1,9,9,8,1,8,Travel_Frequently,Sales Executive,326484,1,3,3,3,No,22,4,2,1,2,No
35,Research & Development,23,Medical,4,Female,Married,3,4,2,2,2,2,Travel_Rarely,Laboratory Technician,144504,1,3,3,1,Yes,15,3,3,1,3,No
31,Research & Development,7,Life Sciences,4,Male,Divorced,3,10,7,7,1,7,Travel_Rarely,Laboratory Technician,212940,1,3,3,2,No,22,4,4,4,2,No
37,Research & Development,1,Life Sciences,4,Male,Divorced,1,7,7,5,0,7,Travel_Rarely,Manufacturing Director,215748,1,2,2,2,No,18,3,1,3,4,No
32,Research & Development,1,Medical,3,Male,Married,1,9,9,8,7,8,Travel_Rarely,Manufacturing Director,221832,1,3,3,2,Yes,22,4,1,4,3,No
38,Research & Development,29,Life Sciences,5,Female,Single,1,10,10,3,9,9,Travel_Frequently,Laboratory Technician,86616,0,2,3,2,No,11,3,4,4,3,No
50,Research & Development,7,Medical,2,Female,Divorced,5,29,27,3,13,8,Travel_Rarely,Research Director,674640,1,2,2,5,Yes,12,3,2,3,2,No
59,Sales,25,Life Sciences,3,Female,Single,7,28,21,16,7,9,Travel_Rarely,Sales Executive,274932,0,3,3,3,No,11,3,1,1,2,No
36,Research & Development,8,Technical Degree,3,Female,Divorced,1,17,17,14,12,8,Travel_Rarely,Healthcare Representative,363456,3,2,3,3,No,13,3,3,3,3,No
55,Research & Development,8,Medical,3,Female,Divorced,2,21,5,0,0,2,Travel_Rarely,Manager,531216,3,2,3,4,Yes,14,3,4,3,3,No
36,Research & Development,11,Life Sciences,3,Male,Single,1,6,6,5,0,3,Travel_Frequently,Manufacturing Director,233964,0,3,2,2,No,13,3,2,2,3,No
45,Research & Development,7,Life Sciences,3,Male,Divorced,2,25,1,0,0,0,Travel_Rarely,Research Scientist,350064,1,2,3,3,No,17,3,2,1,3,No
35,Research & Development,1,Medical,3,Male,Married,4,5,3,2,1,2,Travel_Frequently,Research Scientist,78984,1,2,3,1,No,13,3,2,1,2,No
36,Research & Development,9,Medical,3,Male,Married,0,2,1,0,0,0,Travel_Rarely,Research Scientist,121968,1,0,2,1,Yes,17,3,4,3,2,Yes
59,Sales,1,Life Sciences,1,Female,Single,7,20,4,3,1,3,Travel_Frequently,Sales Executive,197028,0,2,2,2,No,11,3,1,3,2,No
29,Research & Development,2,Life Sciences,3,Male,Married,0,6,5,4,0,4,Travel_Rarely,Research Scientist,97308,1,3,3,1,No,23,4,3,2,3,No
31,Research & Development,1,Medical,4,Male,Single,1,1,1,1,1,0,Travel_Rarely,Research Scientist,90036,0,4,3,1,No,17,3,3,2,3,No
32,Research & Development,1,Life Sciences,3,Male,Married,1,10,10,4,0,9,Travel_Rarely,Research Scientist,223920,2,3,3,2,No,17,3,2,2,3,No
36,Research & Development,6,Life Sciences,3,Female,Married,3,5,1,0,0,0,Travel_Rarely,Laboratory Technician,109368,0,3,4,1,No,12,3,2,4,3,No
31,Research & Development,8,Life Sciences,4,Female,Single,1,11,11,7,1,8,Travel_Rarely,Manufacturing Director,159264,0,2,3,2,No,23,4,3,4,3,No
35,Sales,1,Marketing,4,Male,Single,0,16,15,13,2,8,Travel_Rarely,Sales Executive,155232,0,2,2,2,No,14,3,3,1,3,No
45,Research & Development,6,Other,4,Male,Married,4,17,0,0,0,0,Travel_Rarely,Research Director,476820,0,3,3,3,Yes,14,3,4,1,4,No
37,Research & Development,7,Medical,4,Male,Single,4,16,5,2,0,2,Travel_Rarely,Research Director,491904,0,3,3,3,No,13,3,1,3,4,No
46,Human Resources,5,Medical,2,Male,Divorced,8,16,4,2,0,2,Travel_Rarely,Human Resources,180756,1,2,3,2,Yes,22,4,2,2,3,No
30,Research & Development,1,Life Sciences,1,Male,Married,1,10,10,8,3,0,Travel_Rarely,Laboratory Technician,184536,2,1,2,2,Yes,12,3,4,4,2,No
35,Research & Development,1,Medical,3,Male,Single,1,6,6,4,0,4,Travel_Rarely,Research Scientist,102924,0,3,2,1,No,18,3,2,3,3,No
55,Sales,1,Life Sciences,2,Male,Married,3,24,1,0,1,0,Travel_Rarely,Sales Executive,368604,1,4,3,3,No,14,3,1,4,3,No
38,Research & Development,6,Medical,3,Female,Divorced,7,17,13,11,1,9,Non-Travel,Research Scientist,191844,3,3,1,2,Yes,12,3,2,4,3,No
34,Research & Development,1,Medical,2,Male,Married,1,5,5,2,1,3,Travel_Rarely,Manufacturing Director,155700,0,2,3,2,No,15,3,1,2,3,No
56,Research & Development,7,Life Sciences,3,Male,Single,4,37,6,4,0,2,Travel_Rarely,Manufacturing Director,261360,0,3,1,3,No,11,3,4,4,2,No
23,Sales,2,Technical Degree,1,Male,Divorced,3,3,0,0,0,0,Travel_Rarely,Sales Representative,83592,1,3,3,1,No,13,3,3,1,3,No
51,Research & Development,9,Life Sciences,4,Male,Married,3,10,4,2,0,3,Travel_Rarely,Laboratory Technician,74700,2,4,3,1,No,23,4,4,4,3,No
30,Research & Development,2,Life Sciences,3,Male,Married,1,11,11,10,10,8,Travel_Rarely,Healthcare Representative,149472,3,3,2,2,No,19,3,3,4,3,No
46,Sales,9,Medical,2,Male,Single,1,9,9,8,4,7,Travel_Rarely,Sales Executive,346284,0,3,2,3,No,16,3,3,4,3,Yes
40,Research & Development,1,Life Sciences,4,Male,Married,1,22,22,3,11,11,Travel_Frequently,Healthcare Representative,486108,1,3,2,4,No,22,4,3,2,2,No
51,Sales,21,Marketing,4,Male,Single,0,11,10,7,1,0,Travel_Rarely,Sales Executive,195876,0,2,3,2,Yes,22,4,3,4,1,No
30,Sales,4,Medical,2,Female,Divorced,1,11,11,8,2,7,Travel_Rarely,Sales Executive,187524,3,4,2,2,Yes,12,3,3,2,2,No
46,Research & Development,1,Medical,3,Male,Married,2,21,10,9,9,5,Travel_Frequently,Healthcare Representative,384228,1,5,2,3,Yes,13,3,3,1,2,No
32,Sales,6,Medical,4,Male,Single,1,12,11,8,5,7,Travel_Rarely,Sales Executive,180360,0,0,3,2,No,16,3,2,3,3,No
54,Research & Development,2,Technical Degree,4,Female,Married,9,16,4,3,0,3,Travel_Rarely,Research Director,487764,1,5,3,3,No,12,3,1,3,1,No
24,Sales,3,Other,2,Female,Married,0,4,3,2,0,2,Travel_Rarely,Sales Executive,179964,1,2,3,2,No,21,4,1,3,2,No
28,Sales,4,Medical,3,Male,Married,1,5,5,4,0,4,Non-Travel,Sales Executive,151956,0,3,3,2,No,15,3,2,3,4,No
58,Sales,10,Medical,4,Male,Single,0,38,37,10,1,8,Travel_Rarely,Sales Executive,499392,0,1,3,4,No,13,3,4,3,2,No
44,Research & Development,23,Medical,3,Male,Married,4,17,3,2,1,2,Non-Travel,Laboratory Technician,73512,1,3,3,2,No,12,3,2,2,4,No
37,Human Resources,6,Human Resources,4,Male,Divorced,4,7,3,2,0,2,Travel_Rarely,Human Resources,74628,0,3,3,1,Yes,22,4,3,1,3,Yes
32,Research & Development,1,Life Sciences,1,Male,Single,1,1,1,0,0,0,Travel_Rarely,Research Scientist,106416,0,2,3,1,No,13,3,4,1,3,No
20,Research & Development,6,Life Sciences,3,Female,Single,1,1,1,0,1,0,Travel_Frequently,Laboratory Technician,105336,0,5,2,1,Yes,18,3,4,4,3,Yes
34,Research & Development,6,Other,4,Female,Single,1,16,16,13,2,10,Travel_Rarely,Research Scientist,173124,0,3,3,2,No,14,3,1,3,3,No
37,Research & Development,2,Life Sciences,2,Male,Divorced,5,17,1,0,0,0,Non-Travel,Healthcare Representative,185868,1,2,2,2,No,14,3,3,4,4,No
59,Human Resources,2,Human Resources,4,Female,Married,9,30,3,2,2,2,Non-Travel,Manager,678384,1,3,2,5,No,21,4,3,4,3,No
50,Research & Development,1,Life Sciences,3,Female,Married,3,28,8,3,0,7,Travel_Frequently,Research Director,654192,0,1,3,5,Yes,19,3,1,2,2,No
25,Sales,5,Marketing,3,Male,Single,1,6,6,4,0,3,Travel_Rarely,Sales Executive,206784,0,1,2,2,Yes,11,3,3,3,3,Yes
25,Research & Development,7,Medical,1,Male,Married,1,2,2,2,2,1,Travel_Rarely,Research Scientist,104004,2,2,2,1,No,11,3,4,4,3,No
22,Research & Development,15,Medical,3,Female,Single,1,1,0,0,0,0,Travel_Rarely,Laboratory Technician,103356,0,5,3,1,No,15,3,2,4,3,No
51,Research & Development,1,Medical,4,Female,Single,3,23,13,12,12,8,Travel_Frequently,Healthcare Representative,269424,0,1,2,3,No,20,4,1,1,2,No
34,Research & Development,7,Life Sciences,3,Male,Single,1,9,9,7,0,6,Travel_Frequently,Laboratory Technician,218664,0,3,1,2,Yes,24,4,1,3,3,Yes
54,Human Resources,26,Human Resources,3,Female,Single,2,23,5,3,4,4,Non-Travel,Manager,623808,0,3,4,4,Yes,12,3,4,4,3,No
24,Research & Development,18,Life Sciences,1,Male,Married,0,6,5,3,1,2,Travel_Rarely,Laboratory Technician,99864,1,2,3,1,No,12,3,2,3,3,No
34,Research & Development,6,Life Sciences,4,Female,Divorced,6,12,1,0,0,0,Travel_Rarely,Research Scientist,162180,1,3,2,2,No,15,3,3,2,3,No
37,Sales,3,Life Sciences,3,Male,Single,2,12,5,3,1,3,Travel_Rarely,Sales Executive,267408,0,3,3,3,No,12,3,3,4,3,No
34,Research & Development,5,Medical,3,Female,Single,2,14,11,10,5,8,Travel_Rarely,Manager,418716,0,6,2,3,No,12,3,3,1,3,No
36,Sales,11,Technical Degree,2,Female,Married,0,10,9,7,2,8,Travel_Frequently,Sales Executive,350568,1,6,3,3,No,14,3,2,4,3,No
36,Research & Development,3,Life Sciences,2,Female,Divorced,5,7,1,0,0,0,Travel_Rarely,Laboratory Technician,102060,1,2,3,1,No,22,4,1,4,3,No
43,Sales,26,Life Sciences,2,Male,Married,1,25,25,12,4,12,Travel_Frequently,Manager,610524,2,3,3,4,Yes,12,3,3,4,4,No
30,Research & Development,23,Life Sciences,3,Male,Divorced,1,10,10,7,0,9,Travel_Frequently,Research Scientist,94068,3,2,1,1,No,25,4,1,3,2,No
33,Sales,22,Marketing,2,Male,Married,0,8,7,7,0,7,Non-Travel,Sales Executive,221256,1,2,3,2,No,13,3,3,2,4,No
56,Research & Development,14,Life Sciences,4,Female,Married,9,7,5,4,4,3,Travel_Rarely,Research Scientist,178668,3,2,3,1,Yes,18,3,2,2,3,Yes
51,Research & Development,6,Life Sciences,3,Male,Single,7,23,20,18,15,15,Travel_Rarely,Research Director,703332,0,5,3,5,No,13,3,1,3,3,No
31,Sales,6,Life Sciences,4,Male,Married,4,12,7,7,7,7,Travel_Rarely,Sales Executive,222192,0,3,1,2,Yes,18,3,2,3,2,Yes
26,Research & Development,6,Other,3,Female,Married,1,5,5,4,4,3,Travel_Rarely,Research Scientist,85248,0,3,2,1,No,19,3,3,2,2,No
58,Research & Development,23,Medical,4,Female,Married,1,40,40,10,15,6,Travel_Rarely,Healthcare Representative,371232,1,3,3,3,No,12,3,4,4,2,Yes
19,Sales,22,Marketing,1,Male,Single,1,0,0,0,0,0,Travel_Rarely,Sales Representative,60300,0,2,3,1,Yes,19,3,4,3,2,Yes
22,Research & Development,2,Technical Degree,1,Male,Married,0,3,2,1,2,1,Travel_Rarely,Laboratory Technician,90828,1,2,3,1,No,14,3,3,4,3,No
49,Research & Development,20,Medical,4,Female,Married,1,16,15,11,5,11,Travel_Rarely,Manufacturing Director,236412,0,2,3,2,No,14,3,3,1,2,No
43,Research & Development,28,Medical,3,Female,Single,4,18,3,2,1,2,Travel_Frequently,Research Scientist,170604,0,2,4,1,No,12,3,2,3,3,No
50,Sales,12,Marketing,3,Female,Single,4,16,2,2,2,1,Travel_Frequently,Sales Executive,331488,0,3,3,3,No,11,3,3,4,3,No
31,Sales,20,Life Sciences,3,Female,Married,3,4,2,2,2,2,Travel_Rarely,Sales Executive,164124,1,2,1,2,Yes,11,3,2,3,3,Yes
41,Sales,9,Life Sciences,1,Male,Divorced,3,12,9,7,0,7,Travel_Rarely,Sales Executive,294804,1,2,3,3,Yes,13,3,3,3,3,No
26,Human Resources,25,Life Sciences,1,Female,Married,1,8,8,7,5,7,Travel_Rarely,Human Resources,105912,1,3,3,1,No,23,4,3,3,3,No
36,Research & Development,6,Medical,2,Male,Divorced,6,7,3,2,0,1,Travel_Rarely,Manufacturing Director,177876,2,0,3,2,No,20,4,2,2,3,No
51,Research & Development,8,Life Sciences,4,Male,Single,2,18,4,2,0,3,Travel_Frequently,Manufacturing Director,383400,0,2,1,3,No,15,3,1,4,3,Yes
39,Sales,4,Life Sciences,4,Female,Married,4,17,15,11,5,9,Travel_Rarely,Sales Executive,212472,1,1,2,2,No,14,3,4,3,4,No
25,Sales,28,Life Sciences,3,Male,Married,2,6,2,2,2,2,Travel_Rarely,Sales Executive,311004,0,3,2,2,No,18,3,1,3,3,No
30,Human Resources,9,Human Resources,3,Male,Married,0,12,11,9,4,7,Travel_Rarely,Human Resources,228492,0,2,3,2,Yes,19,3,3,4,1,No
32,Research & Development,9,Medical,3,Female,Single,7,10,5,4,0,4,Travel_Rarely,Laboratory Technician,151200,0,2,3,1,No,22,4,1,1,4,Yes
45,Research & Development,29,Medical,3,Male,Single,5,9,6,5,0,3,Travel_Rarely,Research Scientist,124272,0,2,3,1,No,13,3,3,4,2,No
38,Research & Development,3,Technical Degree,5,Female,Single,3,19,3,2,2,2,Travel_Rarely,Research Scientist,155412,0,2,3,2,Yes,20,4,4,3,3,No
30,Research & Development,18,Life Sciences,3,Female,Single,1,5,5,4,0,4,Travel_Rarely,Research Scientist,94752,0,4,3,1,No,14,3,1,3,2,No
32,Sales,9,Medical,2,Male,Divorced,0,9,8,7,0,7,Travel_Frequently,Sales Executive,168048,3,2,1,2,No,17,3,4,4,4,No
30,Research & Development,5,Technical Degree,3,Female,Divorced,5,8,3,2,2,2,Travel_Rarely,Research Scientist,115344,1,3,3,1,No,14,3,4,1,3,No
30,Research & Development,2,Medical,1,Male,Single,0,6,5,3,1,2,Travel_Rarely,Laboratory Technician,97920,0,3,2,1,No,13,3,2,4,3,No
41,Research & Development,10,Life Sciences,3,Male,Divorced,4,21,7,6,7,7,Travel_Frequently,Manager,618516,1,2,2,4,No,13,3,4,1,2,No
41,Research & Development,9,Life Sciences,4,Male,Married,2,7,5,0,1,4,Travel_Rarely,Laboratory Technician,80568,1,2,3,1,No,21,4,3,1,3,No
19,Research & Development,3,Medical,1,Female,Single,1,1,1,0,0,0,Travel_Rarely,Laboratory Technician,53388,0,3,3,1,No,14,3,2,2,3,No
40,Research & Development,26,Medical,3,Female,Divorced,1,20,20,7,2,13,Travel_Frequently,Research Scientist,201780,1,2,3,2,No,11,3,2,2,3,No
35,Sales,1,Marketing,5,Male,Married,1,10,10,8,0,6,Travel_Rarely,Sales Executive,262620,2,3,3,3,No,13,3,3,2,3,No
53,Sales,6,Marketing,2,Male,Married,2,13,7,7,4,5,Travel_Rarely,Sales Representative,83016,1,3,3,2,Yes,20,4,2,3,1,No
45,Research & Development,9,Life Sciences,3,Male,Divorced,8,20,17,9,0,15,Travel_Rarely,Laboratory Technician,84528,1,2,3,2,No,18,3,2,2,1,No
32,Sales,8,Marketing,3,Female,Single,1,9,9,8,3,7,Travel_Frequently,Sales Executive,323928,0,2,3,3,No,14,3,2,4,3,No
29,Research & Development,1,Technical Degree,1,Male,Married,1,10,10,7,0,9,Non-Travel,Manufacturing Director,155484,1,1,3,2,No,13,3,4,3,3,No
51,Research & Development,7,Medical,4,Male,Married,2,10,1,0,0,0,Travel_Rarely,Manufacturing Director,220752,0,2,2,2,No,17,3,2,3,3,No
58,Research & Development,9,Medical,3,Female,Married,4,9,1,0,0,0,Travel_Rarely,Research Scientist,120456,1,3,2,1,Yes,20,4,2,2,2,No
40,Sales,4,Marketing,4,Male,Married,7,15,12,11,2,11,Travel_Rarely,Sales Executive,390780,1,2,2,3,No,11,3,3,4,2,No
34,Sales,2,Marketing,4,Female,Married,6,6,4,3,1,2,Travel_Frequently,Sales Representative,80316,1,3,3,1,No,18,3,3,3,3,No
22,Research & Development,19,Medical,1,Male,Married,1,2,2,2,2,2,Travel_Rarely,Research Scientist,83628,2,6,3,1,No,24,4,3,4,3,No
27,Research & Development,9,Medical,3,Male,Divorced,6,6,2,2,2,2,Non-Travel,Research Scientist,72864,1,1,3,1,No,18,3,4,2,1,No
28,Research & Development,21,Medical,3,Male,Married,1,5,5,2,0,2,Travel_Rarely,Research Scientist,97668,1,2,3,1,No,11,3,3,4,1,No
57,Research & Development,24,Life Sciences,2,Male,Divorced,3,12,5,3,1,4,Travel_Rarely,Healthcare Representative,339804,1,2,4,3,Yes,16,3,3,4,1,No
27,Research & Development,3,Medical,3,Male,Divorced,1,1,1,1,0,1,Non-Travel,Research Scientist,92376,1,2,2,1,Yes,15,3,3,3,2,No
50,Research & Development,11,Life Sciences,3,Female,Single,3,21,5,4,4,4,Travel_Rarely,Manager,717336,0,5,3,5,No,15,3,3,2,3,No
41,Research & Development,14,Life Sciences,3,Male,Divorced,4,13,9,8,1,8,Travel_Rarely,Research Scientist,88236,1,2,3,1,No,12,3,1,3,3,No
30,Sales,5,Life Sciences,3,Female,Married,2,12,10,9,7,4,Travel_Rarely,Sales Executive,339084,1,2,3,3,No,12,3,2,4,3,No
38,Sales,1,Life Sciences,4,Female,Single,4,12,8,3,0,7,Travel_Rarely,Sales Executive,312696,0,2,2,2,No,22,4,1,4,4,No
32,Research & Development,6,Life Sciences,5,Male,Single,3,8,5,4,1,4,Travel_Rarely,Research Scientist,109368,0,2,3,1,No,20,4,3,3,3,No
27,Research & Development,17,Technical Degree,3,Male,Married,0,6,5,2,1,1,Travel_Rarely,Research Scientist,110088,1,3,3,1,Yes,16,3,3,2,2,No
19,Sales,1,Technical Degree,1,Female,Single,0,1,0,0,0,0,Travel_Frequently,Sales Representative,83700,0,5,1,1,No,21,4,3,1,4,Yes
36,Research & Development,3,Medical,2,Male,Single,4,13,8,7,7,2,Travel_Frequently,Laboratory Technician,75168,0,3,3,1,No,12,3,4,2,2,No
30,Research & Development,9,Medical,3,Male,Divorced,1,12,12,9,6,10,Non-Travel,Laboratory Technician,110592,2,4,3,2,No,11,3,3,1,3,No
